iteration	mean	std_dev	min	max	median
1430	77.530	4.783	70.091	85.786	76.811
1440	123.223	21.782	98.058	182.532	119.283
1450	104.741	7.097	96.787	117.314	103.831
1460	125.648	11.157	98.435	142.639	127.779
1470	74.816	2.775	66.948	76.837	75.883
1480	64.149	1.152	62.225	66.055	63.809
1490	61.958	0.293	61.535	62.681	61.925
1500	61.876	2.540	60.159	68.965	60.777
1510	61.835	0.476	60.971	62.884	61.826
1520	62.708	2.041	58.408	63.938	63.682
1530	70.875	2.146	66.762	72.991	71.767
1540	86.096	3.662	81.875	95.018	86.449
1550	72.610	2.809	67.069	76.058	73.439
1560	75.159	4.321	67.396	82.910	75.223
1570	75.816	2.627	71.422	78.308	77.625
1580	106.775	18.649	78.413	146.072	102.319
1590	78.587	8.349	70.948	92.519	74.634
1600	84.406	12.090	71.857	107.341	78.155
1610	70.654	0.895	68.345	71.537	70.876
1620	124.047	30.498	77.230	178.180	116.267
1630	68.770	3.419	63.466	76.613	68.796
1640	69.094	1.455	67.641	72.596	68.604
1650	66.880	0.879	65.760	68.402	66.686
1660	68.802	3.023	63.927	73.323	68.969
1670	62.518	1.723	61.424	67.505	61.979
1680	62.331	2.042	60.977	67.707	61.629
1690	63.069	1.827	61.302	66.969	62.440
1700	64.589	3.347	59.208	68.436	64.124
1710	60.630	2.345	58.083	67.335	59.978
1720	59.026	1.199	56.862	60.394	59.253
1730	53.121	0.782	51.910	54.531	53.041
1740	57.580	0.586	56.405	58.545	57.649
1750	64.752	4.326	58.937	71.586	65.782
1760	68.580	3.225	60.476	74.389	69.168
1770	60.673	1.880	57.069	62.980	60.952
1780	61.927	2.427	59.015	65.508	60.563
1790	61.173	2.323	56.941	63.030	62.570
1800	57.665	2.225	54.414	63.192	57.680
1810	67.352	1.838	64.091	69.164	68.130
1820	124.816	40.534	70.699	216.971	118.820
1830	141.686	17.042	112.924	170.424	145.433
1840	130.721	55.372	70.086	212.692	121.528
1850	75.704	2.356	70.983	79.975	76.405
1860	101.135	26.142	68.200	151.674	101.951
1870	87.256	11.478	75.858	111.483	81.747
1880	147.980	21.505	104.515	176.918	154.049
1890	82.461	2.542	78.929	85.931	82.887
1900	71.811	0.447	70.961	72.511	71.803
1910	67.114	3.931	61.060	73.309	67.694
1920	68.769	2.095	66.109	71.294	69.356
1930	143.130	41.076	81.974	207.661	133.206
1940	168.628	26.012	120.189	218.717	174.632
1950	166.166	29.290	119.412	217.834	169.991
1960	129.991	11.181	112.397	146.741	131.835
1970	175.485	25.436	135.120	202.346	190.403
1980	72.060	2.878	66.607	76.164	71.910
1990	89.179	12.707	72.444	112.492	86.157
2000	69.116	0.375	68.687	69.930	69.091
2010	71.780	0.814	71.080	74.146	71.547
2020	102.850	10.085	85.279	118.712	102.344
2030	105.120	8.501	87.656	118.229	106.700
2040	100.208	16.126	81.659	126.287	95.401
2050	103.058	14.211	75.770	130.558	100.171
2060	69.784	2.963	65.698	76.201	69.945
2070	67.501	1.736	65.269	71.320	67.733
2080	66.149	0.827	64.030	66.817	66.421
2090	69.470	1.750	67.577	72.804	68.561
2100	76.793	5.437	68.177	87.301	76.207
2110	169.896	31.554	148.355	258.354	159.112
2120	167.927	14.397	141.792	183.528	173.268
2130	84.113	3.528	79.356	90.174	82.943
2140	168.100	3.643	162.169	172.274	169.470
2150	209.887	29.061	166.588	258.744	205.143
2160	131.333	4.231	123.621	139.244	131.420
2170	88.703	2.943	85.769	96.268	87.546
2180	138.081	12.805	121.841	156.584	135.421
2190	137.196	8.189	119.691	150.323	137.752
2200	89.412	6.816	78.481	99.986	90.273
2210	74.033	3.362	70.418	80.470	73.427
2220	76.315	4.657	68.373	85.412	76.622
2230	65.942	1.576	64.954	70.602	65.410
